user_id,item_id,rating
386,65,1
162,5,1
212,62,2
497,77,3
38,67,2
130,35,3
61,46,4
327,86,1
167,68,4
32,30,3
46,70,3
25,62,4
465,36,3
128,46,3
70,13,3
287,76,5
22,15,4
80,8,2
357,30,3
325,28,1
366,96,4
71,56,3
430,52,3
416,93,4
1,84,5
85,58,4
367,56,1
165,7,2
256,53,3
99,27,2
270,94,3
489,19,1
457,73,3
192,31,4
414,47,2
218,37,4
48,23,1
435,20,3
334,72,2
272,38,3
162,27,1
360,90,3
253,71,5
165,10,2
405,67,1
322,47,4
436,45,4
421,3,1
107,89,4
224,55,3
393,16,4
128,84,2
337,91,5
21,37,2
128,66,4
314,45,1
283,28,5
262,90,2
395,24,2
193,35,3
418,6,3
124,71,1
329,51,2
100,91,2
418,63,2
411,63,2
288,48,3
472,6,2
351,18,2
405,26,5
196,13,4
349,67,3
116,15,2
383,88,4
249,32,2
166,83,3
467,10,3
92,58,4
316,80,3
94,7,3
143,92,2
466,92,2
9,2,5
425,24,3
440,7,2
180,88,3
37,79,1
481,64,5
346,53,4
314,34,1
213,25,3
233,81,2
368,19,2
26,47,3
287,93,2
242,31,2
401,87,2
85,61,4
355,59,2
22,3,2
263,78,3
397,4,2
461,26,2
382,41,2
409,27,2
197,68,4
17,6,4
250,57,3
197,84,3
476,88,2
222,81,3
324,96,1
155,13,1
394,47,2
331,25,3
235,69,3
336,19,4
120,52,2
45,3,4
356,41,2
84,72,1
406,39,5
492,31,3
474,87,5
16,34,2
361,27,3
322,64,2
62,3,3
295,93,3
92,52,3
442,7,3
120,90,3
315,71,4
284,93,2
237,68,4
328,17,3
462,97,5
444,61,4
272,25,1
382,1,2
408,95,2
380,52,4
48,64,4
58,6,3
163,10,3
303,44,2
101,11,2
370,31,3
341,12,2
275,41,2
381,52,3
437,93,2
323,29,4
368,31,4
383,50,2
454,29,1
428,37,2
131,7,2
179,16,3
58,1,3
64,70,3
409,39,4
380,6,4
355,69,1
17,92,2
96,35,3
43,60,2
4,63,2
92,98,4
182,36,3
484,98,2
140,66,3
438,56,2
268,69,5
414,15,4
82,63,2
52,2,1
112,64,2
49,41,1
417,86,4
338,54,3
67,29,2
469,63,3
232,17,2
280,90,2
190,7,2
400,63,3
203,1,3
218,72,2
327,77,2
271,95,3
382,25,4
138,41,2
130,19,1
366,95,3
296,64,3
145,5,3
345,93,5
325,7,2
256,84,3
160,58,4
53,4,3
367,24,1
165,77,3
429,6,3
202,1,2
94,5,2
155,64,1
500,94,3
248,77,2
67,85,1
31,75,4
372,20,2
192,41,4
392,1,1
453,69,3
91,41,2
318,46,3
276,42,5
272,18,5
231,10,1
84,60,2
152,72,1
452,21,2
256,21,4
422,15,1
132,93,2
366,49,5
210,83,2
300,81,2
320,17,3
15,71,2
263,33,3
86,76,3
204,41,3
321,12,2
215,49,2
23,71,3
379,41,2
97,76,2
6,48,4
251,52,3
266,63,4
426,37,1
61,88,3
421,30,2
108,3,2
467,84,5
18,85,2
7,29,3
259,12,2
238,33,4
428,71,4
454,55,2
367,95,2
352,66,2
316,60,2
76,79,2
420,19,3
479,97,2
270,50,2
328,92,3
173,13,2
114,83,1
480,2,4
30,1,2
276,44,5
479,80,1
463,15,4
371,85,1
366,12,2
372,5,3
352,83,2
456,65,3
382,27,4
291,83,3
47,6,3
37,18,2
259,3,2
47,21,1
52,3,1
285,19,3
55,10,2
498,29,2
412,43,2
282,92,2
438,4,2
499,39,1
44,72,3
246,54,3
82,21,3
143,60,5
122,58,3
211,79,2
126,75,2
401,51,4
443,39,2
7,36,4
172,51,5
185,21,2
195,78,2
78,11,4
487,40,3
258,14,5
159,33,3
394,3,3
90,55,1
148,61,1
46,52,1
454,54,1
41,5,3
135,20,2
100,24,2
376,21,2
475,64,3
155,3,2
376,54,4
346,18,3
389,29,4
124,31,4
54,15,2
414,14,3
162,94,4
15,94,2
290,87,2
267,81,4
333,91,2
58,86,2
340,46,2
175,43,2
326,94,3
465,13,2
387,80,2
47,87,1
441,44,1
377,15,1
243,13,3
351,42,5
9,84,2
130,28,2
382,18,1
402,91,1
158,37,1
413,15,2
365,69,1
10,14,4
441,15,2
232,78,1
212,76,3
5,35,2
329,19,2
436,66,2
238,95,2
230,19,1
49,35,1
446,24,2
53,88,3
91,76,1
161,14,2
420,54,3
439,26,2
42,89,5
138,35,2
226,28,5
126,64,2
103,86,4
378,19,4
425,33,4
36,39,2
275,24,2
50,61,3
230,66,2
44,31,3
141,19,2
292,73,4
320,70,5
422,94,3
176,13,2
89,12,3
20,90,2
427,18,1
101,58,1
245,74,2
113,98,2
339,79,4
285,2,4
494,32,3
240,64,3
220,60,3
469,76,2
286,53,5
71,70,2
394,39,3
167,1,3
259,37,2
356,1,3
209,9,2
175,62,3
6,25,2
369,1,4
358,64,3
119,9,2
227,44,2
284,29,3
327,20,1
112,35,3
208,62,3
11,58,3
194,79,2
154,67,4
455,91,1
168,28,4
339,24,3
206,10,1
467,22,5
467,75,2
64,59,2
468,71,3
345,46,4
499,56,2
219,8,5
27,29,3
106,87,2
451,16,2
131,24,3
304,11,3
224,29,4
134,92,1
321,77,2
62,8,4
89,57,2
13,80,4
380,57,2
46,98,4
154,23,1
406,72,3
279,57,3
254,89,1
78,78,3
280,63,1
22,89,3
109,29,5
21,6,1
148,74,2
238,73,2
307,49,4
397,26,3
134,9,4
95,13,3
212,89,2
317,72,5
306,78,2
172,19,3
147,47,2
297,19,1
224,84,5
455,75,3
259,84,1
344,59,3
8,24,1
302,16,2
54,66,3
463,79,3
35,74,2
465,53,2
486,93,3
355,71,2
87,63,4
107,49,5
180,83,4
484,59,3
29,78,5
163,65,3
72,44,2
152,92,2
317,67,4
353,12,5
49,36,1
17,95,2
144,26,4
207,91,1
351,20,3
164,33,2
278,93,1
272,97,2
337,8,1
334,92,3
159,80,2
57,37,3
292,50,1
269,97,2
267,21,3
454,13,3
111,56,3
201,28,5
343,9,2
191,89,2
377,80,4
459,62,1
38,20,2
429,86,4
451,77,4
403,53,3
423,17,2
487,65,4
495,60,5
253,91,4
42,67,4
27,80,3
328,16,2
278,84,3
208,98,4
55,79,1
245,4,2
469,92,2
407,69,4
473,24,3
16,92,3
283,90,2
269,54,3
196,36,2
385,62,4
192,8,1
288,42,1
166,90,1
52,71,4
441,4,2
4,54,1
393,80,2
66,77,2
487,53,4
496,96,1
38,30,3
206,17,1
10,31,1
309,70,3
213,93,2
242,42,2
238,63,4
34,11,2
433,2,4
355,57,1
44,74,3
33,26,1
257,84,1
365,41,3
488,22,5
23,74,3
347,4,2
462,68,3
403,74,2
33,84,2
405,93,2
66,30,2
273,39,5
112,29,3
213,84,3
468,25,3
76,38,2
28,35,3
173,49,3
110,81,3
166,68,2
449,13,4
450,38,3
418,27,4
422,2,2
142,97,3
55,36,2
268,28,4
454,87,4
97,13,1
440,2,3
419,54,4
224,8,4
141,33,2
347,52,3
351,60,5
27,33,3
142,62,2
87,69,3
360,10,2
247,60,5
492,52,2
15,32,4
471,51,5
250,91,5
13,38,2
395,33,3
84,71,2
359,76,1
202,35,2
170,77,3
436,62,3
487,37,3
270,84,5
244,47,5
88,26,2
257,94,3
320,56,4
409,28,2
375,65,4
356,15,3
122,2,1
37,92,2
12,40,2
292,4,1
347,39,2
217,34,1
340,78,4
