Reviewer Name,Review Content,Rating Score,Movie Link
leconghuyhoang,Đánh giá : 80/100,8,https://moveek.com/review/chang-trai-nam-ay/
pk_4183,"Phim hay.
Sơn Tùng diễn cũng rất đạt.
Nội dung hay tuốt.",9,https://moveek.com/review/chang-trai-nam-ay/
An Ngáo's,"Rất hay, rất hài hước và rất cảm động",10,https://moveek.com/review/chang-trai-nam-ay/
MarsLe,"Là 1 trong những phim chất lượng khá hiếm hoi của Việt Nam,
- Nội dung ổn, pha lẫn hài hước nhưng không qua lố.
-Tình tiết, diễn biến vẫn khá nhanh, chưa chuyển tải được hết nội dung.
- Diễn xuất: khá
- Thông điệp bị sao lãng khi quá trú trọng vào diễn thuyết (bài diễn thuyết quá dài), dễ gây nhàm chán.
Kết luận: 1 phim đáng quan tâm.",6,https://moveek.com/review/chang-trai-nam-ay/
Legolas,Xúc động.,9,https://moveek.com/review/chang-trai-nam-ay/
Thanhphuc Le,tui coi roi rat al hay,10,https://moveek.com/review/ngay-nay-ngay-nay/
An Ngáo's,hay,8,https://moveek.com/review/ngay-nay-ngay-nay/
pk_4183,"Đây là phim Việt Nam về chủ đề LGBT đầu tiên mà mình xem.
Thấy nội dung khai thác rất hay.
Diễn viên lại đẹp và khá nổi tiếng trong showbiz",10,https://moveek.com/review/love-yeu/
pk_4183,"Phim remake lại nhưng vẫn có nét riêng của phim Việt Nam.
Hay.",10,https://moveek.com/review/em-la-ba-noi-cua-anh/
Tina Trương,Phim rất hay . Diễn viên diễn rất đạt .,10,https://moveek.com/review/em-la-ba-noi-cua-anh/
Na's Múp's,"miu lê diễn hay thiệt nhá , kiến huy cũng đẹp troai nữa hí hí hí, hài qá :)))))))) vừa dễ chạm và long khán giả vừa có những tình huống cừi không nhặt đc mồm. THÍCH với MÊ gê luôn á nghe",10,https://moveek.com/review/em-la-ba-noi-cua-anh/
VLynd,"Phim xem cũng được, nội dung cũng tiến bộ hơn một số phim VN khác, có twist có tấu và không lạm dụng hài nhảm quá nhiều. Không tránh khỏi việc phim còn sạn hơi khó chịu và diễn xuất hơi cường điệu hoá của các diễn viên, đặc biệt là chị nữ chính. Dễ tính thì thấy phim giải trí vẫn ổn.",7,https://moveek.com/review/sieu-trom/
vuphuong,Siêu Trộm là phim Việt tốt nhất mùa Tết này!,8,https://moveek.com/review/sieu-trom/
Thanhvy289,"Phim rất hay (theo ý kiến của mình là vậy). Tuy nhiên nội dung vẫn còn hơi bị đứt khúc, chưa rành mạch lắm. Mình không hay xem phim Việt, và Siêu Trộm cũng chỉ là một sự tình cờ thôi. Tuy nhiên, phim thực sự đã xóa định kiến và phim Việt của mình. Phim hài vừa đủ, hành động khá tròn và góc máy cực đẹp, nhất là những cảnh hành động. Phim có nhiều nhân tố mới nên làm phim có vẻ ""trẻ"" và có nhiều sức hút. Mình rất thích diễn xuất của Su vs Thành. Su diễn tự nhiên, thoại cũng vậy, cảm giác gần, không có cảm giác bị mệt khi xem Su diễn xuất. Khoing thích diễn xuất của Đa Đa lắm, tuy là vào vai cứng cáp,gan dạ, nóng tính nhưng cặp mắt của Đa Đa như đang làm quá tính cách lên. Phim hay lắm, mình chỉ được xem 2 lần thôi. Tiếc lắm, phải chi phim được chiếu lâu hơn.",10,https://moveek.com/review/sieu-trom/
phuong_nguyen,Phim ổn nhưng diễn xuất chưa đạt. Ngoài Petey ra thì các diễn viên khác đều có cảm giác khá gồng.,7,https://moveek.com/review/sieu-trom/
Hương Trần,"Lời khen dành cho Siêu Trộm nhé. Đâu ra đó đàng hoàng, diễn xuất rất ổn. Độ hấp dẫn, kỹ thuật quay phim, nội dung, diễn xuất đều vượt cao hơn những phim VN khác.",8.5,https://moveek.com/review/sieu-trom/
triculer,"Hành Động Hài mà chỉ thấy hài, hài kiểu làm lố cùng vài lời thoại hay. Kỹ xão thì ôi thôi mắc nãn, hành động cho con nít xem :)) khúc cuối diễn viên quần chúng liên quan phim lắm :)) Chủ yếu mời hiện tượng mạng là chủ yếu, xem trailer cũng mê BB Trần mà đi coi",6,https://moveek.com/review/loc-phat/
techiesg,Ý kiến riêng mình thấy nam chính đóng không hài hước. Các diễn viên khác thì chỉ tạm được thôi. Mình xem đến 2/3 phim rồi thôi không coi hết vì thấy nhạt.,6,https://moveek.com/review/gai-gia-lam-chieu/
smiles003,"Nội dung có cảm xúc. Nhưng nhiều đoạn hài lố quá. Vẫn nên thêm nhiều tình tiết hấp dẫn và bớt mấy cái lố và nhảm chút, nó làm giảm giá trị nội dung phim.",7,https://moveek.com/review/gai-gia-lam-chieu/
Trang Huynh,"Tạm được. Cặp diệu nhi huỳnh lập tung hứng có duyên, Diễm My quá đẹp. Còn lại thì trước giơ ko thẩm thấu đc lối hài của VH, Bình Minh thì ko hợp vai...",7,https://moveek.com/review/gai-gia-lam-chieu/
Minh Nghĩa,Phim hay lắm vừa hài vừa tc vừa nc mắt... Rất thích coi phim này cốt truyện và ý nghĩa rất hay <3,8,https://moveek.com/review/gai-gia-lam-chieu/
smiles003,"Phim cũng hay. Có nội dung dẫn dắt rõ ràng. Một vài phân cảnh xây dựng được cảm xúc, dù kiểu ấy không lạ trong nhiều phim nước ngoài, nhưng biết học cái hay là tốt rồi. Chỉ là chưa đủ nhiệt trong những cảnh ấy.
Một phim đáng xem.",8,https://moveek.com/review/taxi-em-ten-gi/
Erick Fann,"Phim cũng hay, nói chung được hơn mấy cái phim Việt khác, nhưng nội dung sao hao hao giống Tèo Em và Leap Year thế? Có ai nhận ra không?",7,https://moveek.com/review/taxi-em-ten-gi/
Minh Giang,Phim có cốt truyện tốt nhưng xử lý tình huống còn dài dòng. Nhạc phim hay.,6.5,https://moveek.com/review/taxi-em-ten-gi/
Linh Nguyễn,"Là một phim VN khá nhẹ nhàng ngoài ra cũng có các yếu tố gây cười. Cảnh trong phim cũng đẹp, diễn viên ok mỗi tội kết thúc thì không giống mô típ bình thường lắm. Nên đi xem ủng hộ phim Việt =))",7,https://moveek.com/review/taxi-em-ten-gi/
Makai,"Phim nhẹ nhàng, hài coi cười muốn đau bụng.",8,https://moveek.com/review/taxi-em-ten-gi/
Khiet,"Phim rất hay, không phải kiểu hài Việt, mọi thứ rất tự nhiên từ cốt truyện đến lời thoại. Mình thích nhất là tính cách của Chi, gái đẹp nhưng não ko ngắn. Phim này mà các bạn fan Hoài Linh - Trường Giang chắc ko thích vì ko phải thể loại nhảm nhảm.",9,https://moveek.com/review/taxi-em-ten-gi/
MarsLe,"Dễ thương, nhất là Angela Phương Trinh.",7,https://moveek.com/review/taxi-em-ten-gi/
phuong_nguyen,Hài nhẹ. Diễn viên tốt. Câu chuyện dễ thương.,8,https://moveek.com/review/vo-oi-em-o-dau/
MarsLe,Tiến bộ so với nhiều phim Việt và mở lối đi riêng cho dòng phim Hành động ở Việt Nam nhưng còn nhiều sạn.,6,https://moveek.com/review/truy-sat/
LinhKhang,"Hay.nên xem. Kỹ xảo ,hành động quá tốt. Lời thoại hơi cứng nhưng vẫn ủng hộ phim",9,https://moveek.com/review/truy-sat/
Duyen Nguyen,"Phim Việt Nam mà đánh đấm, kỹ xão vậy là quá ok. Phim kha dau tu ve mat hinh anh va dao cu. Tuy nhiên điểm trừ nhiều nhất của phim là diễn xuất. Ngoại trừ các nhân vật phụ diễn đạt, thì nv chính Trương ngọc ánh và Vĩnh Thuỵ diễn như đang đọc bài, khuôn mặt ko có cảm xúc. Nếu dv mà đóng đạt thì phim này sẽ là phim VN hành động đáng xem.",7,https://moveek.com/review/truy-sat/
vuphuong,"Fan Cuồng lựa chọn 1 đề tài kén khán giả trong thời đại mà EDM hoàn toàn lên ngôi nên việc doanh thu không như kỳ vọng là dễ hiểu. Phim không xuất sắc, nhưng nội dung tốt, ý tưởng rõ ràng, thực hiện rất chỉn chu. Đoạn rít guitar mở màn thực sự làm mình nổi da gà, nhớ lại những ngày sinh viên ngồi lết ở Tùng...",8,https://moveek.com/review/fan-cuong/
Minh Nguyenn,Không bao giờ thất vọng phim rạp nào mà có Thái Hoà hay tuyệt!,9,https://moveek.com/review/fan-cuong/
MarsLe,1 bộ phim Việt được đầu tư chỉnh chu và đáng khích lệ dù vẫn còn nhiều điểm không hợp lý và chưa được xử lý tốt.,7,https://moveek.com/review/fan-cuong/
Sophie,"Nếu bạn kỳ vọng 1 siêu phẩm hài như Tèo Em thì chắc chắn sẽ thất vọng. Phim này mình thấy bình thường, không gọi là dở vì đầu tư rất ổn ở cảnh quay, làm phim có tâm rồi, diễn viên đóng tròn vai nhưng mình coi xong phim thì không thấy hay với ấn tượng gì. Tình tiết hơi dài dòng lê thê.",7,https://moveek.com/review/fan-cuong/
Khiet,"Nhạc phim xuất sắc, hình ảnh phê lòi. Nếu ai mún tìm thấy kiểu hài hài của chụy Hội hay ngáo ngơ của Tèo em thì coi chừng hụt hẫng nha, phim này ko lấy hài câu khách đâu.",9,https://moveek.com/review/fan-cuong/
pk_4183,"Phim hay, cảm động",10,https://moveek.com/review/nang/
Glass Mask,"Một phim rất đáng xem, khóc cũng đã mà cười cũng đã.

Chỉ còn thiếu chút cái thực của mấy anh điều tra sẽ thuyết phục hơn, phần này hay bị nhạt. Có chút thắc mắc, nếu ba của Nắng với Nắng không được cứu thì sao chạy ra pháp trường kịp nhỉ. Tính toán chờ ba của Nắng đầu thú mà không biết người đó có an toàn ra kịp pháp trường không hả ta.",9,https://moveek.com/review/nang/
minhtiengavip@gmail.com,Phim từ 49 ngày là mình thích nhất,10,https://moveek.com/review/nang/
phuong_nguyen,Đã xem. Khá hay và xúc động. Nhưng thời lượng phim ngắn quá trong khi có quá nhiều câu chuyện dẫn đến giải quyết hơi hụt hẫng.,7,https://moveek.com/review/sai-gon-anh-yeu-em/
vuphuong,"Ngoài việc tô vẽ 1 Sài Gòn đẹp đến ảo dịu thì phim không để lại vị gì. Cặp đôi chính là Huy Khánh và Maya dù đã từng có nhau, mất nhau và gặp lại nhau khi đã ở độ tuổi trung niên và thành đạt nhưng vẫn yêu nhau như trai gái mới lớn. Huy Khánh không hợp kiểu trưởng thành, thành đạt, cool ngầu mà chỉ biết bày trò show off. Nếu bạn yêu một người từng đó thời gian rồi khi gặp lại vẫn chỉ nói được những câu sáo rỗng như ""Vì em anh có thể làm bất cứ điều gì"" thì thật sự rất rất nhàm chán. Còn vấn đề của cặp của Đoan Trang và chồng Tây thì rất nan giải nhưng cuối cùng không thấy bước ngoặc nào để giải quyết, 2 người cứ thế làm hòa với nhau thôi sao? Cặp trai ở mức tròn trịa, dễ thương có vẻ vì đạo diễn muốn một cách nhìn sáng sủa hơn cho cộng đồng LGBT (nhưng đến vai của Huỳnh Lập thì thấy hơi mệt). Mình mạnh dạn cho rằng cặp đôi hay nhất, đóng đạt nhất, đậm chất Sài Gòn nhất là Ngọc Giàu và Thanh Nam (lẽ đương nhiên). Sài Gòn thế đấy, nhưng làm được một bộ phim rõ chất Sài Gòn thì rất khó. Với mình thì 5' Sài Gòn xưa trong Fan Cuồng còn Sài Gòn hơn hẳn Sài Gòn trong Sài Gòn, Anh Yêu Em.",6,https://moveek.com/review/sai-gon-anh-yeu-em/
pk_4183,"Hay, đáng xem",10,https://moveek.com/review/cho-em-gan-anh-them-chut-nua/
1596862673660845,"Một bộ phim rất đáng xem của VN và lần này mình thấy hài lòng. Bộ đôi Quang Minh - Hồng Đào thật tuyệt vời, 2 nhân vật chính diễn cũng khá, nội dung thì ko nổi bật lắm. Bên cạnh đó có nhiều tình huống rất hài hước, hợp lí. I like it :P",9,https://moveek.com/review/cho-em-gan-anh-them-chut-nua/
Gemmyn Huynh,"Phim cảm động, cảm xúc tinh tế, tuy buồn nhưng ko gây đau khổ mà đem đến một cái nhìn lạc quan cho người xem, các tình huống xử lý khá văn minh, có duyên!",10,https://moveek.com/review/cho-em-gan-anh-them-chut-nua/
vudinhdo,"Tôi đánh giá cao bộ phim này, diễn viên diễn ở đẳng cấp cao, khóc toàn tập từ đầu đến cuối :'(",10,https://moveek.com/review/cho-em-gan-anh-them-chut-nua/
quyevil,Bộ phim đi tìm lại chính mình...nhẹ nhàng và ý nghĩa :),7,https://moveek.com/review/cho-em-gan-anh-them-chut-nua/
Ngoc Tran,"phim hài đáng xem hiện nay,dù diễn biến chưa thực sự ấn tượng,có thể đoán trước nhưng thực sự đánh đấm rất đã mắt,nhất a Kim Lý !",8,https://moveek.com/review/ve-si-sai-gon/
Pphuog.yeol,"Phim hay, hài hước, rất đáng xem",10,https://moveek.com/review/ve-si-sai-gon/
Hienrua,"Vệ sĩ Sài Gòn là một trong những phim đang cạnh tranh và tin đồn đạo nhái,có nội dung trùng lặp cùng Vệ sĩ,tiểu thư và thằng khờ nhưng đây là bộ phim nổi trội hơn về mặt nội dung lẫn diễn viên,khi xem sẽ không hề thấy có sự trùng lặp nào.Có ý nghĩa và cách thức PR hợp lý,thu hút được nhiều người.Hài mà không nhảm và đây là bộ phim mà các bạn nên đi xem và dịp giáng sinh này.",10,https://moveek.com/review/ve-si-sai-gon/
