title,genre,release_date,country,url
Thỏ Ơi!!,"Chính kịch, Gay cấn, Hài",17/02/2026,N/A,https://www.momo.vn/cinema/tho-oi-24729/review
Avatar: Lửa và Tro Tàn,"Phiêu lưu, Khoa học - Viễn tưởng, Giả tưởng",19/12/2025,N/A,https://www.momo.vn/cinema/avatar-fire-and-ash-24650/review
Báu Vật Trời Cho,"Chính kịch, Gia đình, Tình cảm",17/02/2026,N/A,https://www.momo.vn/cinema/bau-vat-troi-cho-24696/review
Nhà Ba Tôi Một Phòng,"Chính kịch, Gia đình, Hài",17/02/2026,N/A,https://www.momo.vn/cinema/nha-ba-toi-mot-phong-24748/review
TÀI,"Gia đình, Hài, Hành động",06/03/2026,N/A,https://www.momo.vn/cinema/tai-24788/review
Cảm Ơn Người Đã Thức Cùng Tôi,"Gia đình, Tình cảm, Âm Nhạc",27/02/2026,N/A,https://www.momo.vn/cinema/cam-on-nguoi-da-thuc-cung-toi-24635/review
Tiểu Yêu Quái Núi Lãng Lãng,"Phiêu lưu, Giả tưởng, Hài, Hoạt hình",23/01/2026,N/A,https://www.momo.vn/cinema/tieu-yeu-quai-nui-lang-lang-24760/review
Mùi Phở,"Gia đình, Hài",17/02/2026,N/A,https://www.momo.vn/cinema/mui-pho-24741/review
Nhà Mình Đi Thôi,"Gia đình, Hài",26/02/2026,N/A,https://www.momo.vn/cinema/nha-minh-di-thoi-24789/review
Quỷ Nhập Tràng 2,Kinh dị,13/03/2026,N/A,https://www.momo.vn/cinema/quy-nhap-trang-2-24791/review
Kumanthong Đài Loan: Oán Thai Đòi Mẹ,"Gay cấn, Kinh dị",06/02/2026,N/A,https://www.momo.vn/cinema/mud-born-24738/review
Tuyển Thủ Dê: Mùi Vị Chiến Thắng,"Gia đình, Hài, Hoạt hình",17/02/2026,N/A,https://www.momo.vn/cinema/goat-24636/review
Đồi Gió Hú,"Chính kịch, Lãng mạn",27/02/2026,N/A,https://www.momo.vn/cinema/wuthering-heights-24633/review
Hoppers: Cú Nhảy Kỳ Diệu,"Gia đình, Khoa học - Viễn tưởng, Hài, Hoạt hình",13/03/2026,N/A,https://www.momo.vn/cinema/hoppers-24647/review
Biệt Đội Thú Cưng: Cuộc Chiến Trên Đường Ray,"Gay cấn, Phiêu lưu, Hài, Hoạt hình",20/02/2026,N/A,https://www.momo.vn/cinema/pets-on-a-train-24790/review
Không Còn Chúng Ta,"Chính kịch, Lãng mạn",06/03/2026,N/A,https://www.momo.vn/cinema/once-we-were-us-24795/review
Thỏ Gà Du Xuân: Đại Náo Địa Đạo,"Gia đình, Phiêu lưu, Hài, Hoạt hình",17/02/2026,N/A,https://www.momo.vn/cinema/chickenhare-and-the-secret-of-the-groundhog-24762/review
Quốc Bảo,Chính kịch,06/03/2026,N/A,https://www.momo.vn/cinema/kokuho-24796/review
